Day,Time,Weather,City,Temperature,Traffic Congestion,Number of Vehicles
1,noon,cloudy,Malappuram,30.46295196189086,3,35
1,night,rainy,Kochi,32.98652408203849,3,44
5,evening,foggy,Alappuzha,26.101557878002197,3,39
3,morning,sunny,Kottayam,30.767736100920942,5,93
5,morning,rainy,Malappuram,18.71574082397705,3,37
6,morning,foggy,Kasaragod,24.014245902510496,4,72
6,morning,rainy,Kasaragod,20.848172132170813,3,44
5,noon,rainy,Alappuzha,29.478280769649963,2,22
6,noon,foggy,Thiruvananthapuram,36.62303034281941,5,83
3,morning,rainy,Kollam,32.57648188503058,4,61
0,morning,rainy,Thiruvananthapuram,19.948924119639695,3,58
5,morning,sunny,Kollam,40.982058275439556,5,105
4,noon,foggy,Kochi,26.805501419714528,3,47
4,morning,foggy,Guruvayur,23.14345415878683,4,65
1,morning,cloudy,Thrissur,35.52401754002237,4,75
6,night,rainy,Alappuzha,26.813795788941515,3,34
4,night,sunny,Palakkad,28.80042523337805,3,43
1,morning,rainy,Guruvayur,23.307131377721042,3,48
0,evening,rainy,Kannur,20.88338081291015,2,26
3,morning,cloudy,Alappuzha,33.2591014742529,4,80
3,night,rainy,Kozhikode,23.708075920612558,2,28
3,evening,sunny,Malappuram,42.81775906680855,4,80
4,evening,sunny,Kozhikode,26.930664698413118,3,39
0,morning,cloudy,Kasaragod,26.76885333049575,3,54
4,night,rainy,Kollam,24.192302840869615,2,27
6,night,sunny,Malappuram,34.55327043072144,5,89
4,evening,rainy,Guruvayur,21.370908980555825,2,28
0,morning,rainy,Kasaragod,28.397084234658656,3,31
0,noon,rainy,Malappuram,30.87070024931257,3,42
6,noon,cloudy,Thiruvananthapuram,36.691821939803226,4,74
0,night,rainy,Kasaragod,29.686587405591943,2,22
0,noon,sunny,Thiruvananthapuram,40.45986335421219,4,71
3,night,rainy,Thiruvananthapuram,25.359270110539924,2,22
6,night,sunny,Malappuram,40.040099849255846,5,104
2,night,rainy,Kottayam,21.15956645551519,2,22
2,noon,sunny,Kozhikode,32.77413895585664,4,72
0,night,sunny,Kasaragod,31.387521234915255,4,75
2,evening,rainy,Palakkad,23.94558470261473,2,23
2,morning,rainy,Kottayam,20.854853476056817,3,43
0,morning,sunny,Kannur,42.3473945183256,5,103
2,night,foggy,Kozhikode,26.543523578096156,3,50
4,morning,cloudy,Kasaragod,22.400350954065534,3,53
1,noon,foggy,Guruvayur,30.181056724856823,4,67
6,noon,foggy,Kollam,22.195849235567795,4,78
1,morning,rainy,Kozhikode,17.87923382724587,3,34
0,noon,cloudy,Palakkad,24.463213422515743,2,22
3,morning,foggy,Alappuzha,29.119119149996205,4,64
6,morning,rainy,Kochi,23.365265849253475,3,39
0,morning,foggy,Thiruvananthapuram,34.81992655604725,5,88
3,night,foggy,Kochi,33.79623401802972,4,79
1,morning,rainy,Kottayam,23.24741099784192,3,53
0,night,rainy,Alappuzha,21.67297152878571,2,23
6,morning,rainy,Thiruvananthapuram,21.379969329045476,3,53
6,morning,cloudy,Kasaragod,33.891510290177706,4,79
5,morning,foggy,Kottayam,22.110395807761382,4,66
4,noon,rainy,Palakkad,16.217968041680297,2,28
2,night,sunny,Malappuram,39.524254662753016,4,80
3,night,foggy,Kasaragod,29.336653293813633,3,31
5,morning,sunny,Kozhikode,28.22497935541079,4,70
2,morning,cloudy,Malappuram,24.73821469428608,3,46
2,noon,rainy,Kottayam,31.852567202655507,3,58
0,noon,sunny,Kozhikode,40.61155058562326,4,74
2,noon,cloudy,Palakkad,32.79993965998709,3,54
4,night,rainy,Kannur,24.19782891573455,2,23
6,night,sunny,Kochi,34.845501645253556,5,101
5,night,sunny,Kozhikode,42.5791570998273,4,68
2,morning,cloudy,Kochi,37.15169135221244,4,67
0,night,rainy,Thiruvananthapuram,19.65957377835918,2,21
4,evening,rainy,Kollam,29.788777627190406,2,27
1,evening,sunny,Thrissur,29.353125324839286,3,52
6,noon,sunny,Kasaragod,29.630137124027172,4,63
6,night,sunny,Thrissur,37.49358158079781,5,90
5,evening,rainy,Thiruvananthapuram,22.885018675988324,2,25
6,noon,cloudy,Kozhikode,36.5698487269904,4,67
2,night,cloudy,Thiruvananthapuram,22.246759299411707,2,29
0,morning,rainy,Guruvayur,24.69593589376138,3,41
6,evening,foggy,Thrissur,36.84003091953286,4,71
6,morning,cloudy,Thrissur,36.10352603433114,4,66
1,night,sunny,Kannur,28.6609966280676,3,32
1,evening,foggy,Guruvayur,27.45800580363956,3,58
3,night,foggy,Kasaragod,31.750228702793635,4,73
4,morning,cloudy,Malappuram,23.443306847293393,3,43
2,evening,foggy,Alappuzha,37.681541826777355,4,80
6,morning,foggy,Kannur,36.77590349037002,5,102
6,night,cloudy,Thiruvananthapuram,23.571746849765532,3,58
0,night,cloudy,Kollam,22.793236647616308,2,21
3,morning,foggy,Alappuzha,22.677109109740307,4,61
4,evening,sunny,Guruvayur,41.46054228862273,4,72
3,morning,rainy,Thiruvananthapuram,19.291604766522834,3,49
5,night,foggy,Palakkad,28.302008687253828,3,58
4,morning,foggy,Guruvayur,28.85563811808385,4,72
6,night,sunny,Kottayam,36.18318775163065,5,88
6,morning,foggy,Kottayam,22.444665745706022,4,64
4,evening,foggy,Kannur,25.080061397808567,3,58
6,evening,rainy,Thrissur,31.835336577621746,3,42
2,morning,rainy,Kottayam,31.442971823565685,4,63
4,morning,rainy,Kannur,29.28194100589677,3,51
3,evening,cloudy,Kochi,21.063414981689217,2,27
4,night,cloudy,Kollam,26.292708870613293,2,23
6,evening,rainy,Kottayam,26.675298500829435,2,23
2,night,rainy,Kozhikode,20.678233600149085,2,23
2,morning,cloudy,Kochi,36.19656762209377,4,68
5,morning,sunny,Alappuzha,36.77612085115151,5,90
3,night,foggy,Kochi,22.44757909637937,3,54
1,morning,foggy,Thiruvananthapuram,36.67825991220675,5,99
1,night,rainy,Thrissur,32.28203318899578,3,52
4,noon,sunny,Kannur,27.321111112659334,3,54
5,evening,cloudy,Kasaragod,29.78371779882191,2,29
0,noon,rainy,Kasaragod,21.157192797640896,2,26
4,night,sunny,Palakkad,32.67826430018384,4,72
5,evening,sunny,Kollam,29.05407070524081,3,47
3,night,sunny,Thiruvananthapuram,35.82722573421101,4,72
3,evening,cloudy,Kasaragod,37.01924281141069,3,32
3,evening,cloudy,Thrissur,29.285828010796912,2,21
3,evening,foggy,Alappuzha,22.634712785705975,3,53
3,evening,foggy,Kasaragod,31.76518757111574,4,79
5,night,sunny,Kozhikode,31.78379090567137,4,76
5,evening,sunny,Kochi,40.55072822305206,4,64
2,evening,cloudy,Kasaragod,28.12312232755955,2,29
1,noon,foggy,Thiruvananthapuram,24.503438254017972,3,41
6,morning,sunny,Kottayam,29.248795585749463,4,63
3,morning,foggy,Kottayam,34.294155974259525,5,86
0,noon,foggy,Alappuzha,25.740154073224915,3,57
6,noon,sunny,Kottayam,39.04296770070679,5,100
5,night,cloudy,Kannur,24.233678089211747,2,26
0,night,sunny,Guruvayur,31.46866826792226,4,72
0,night,sunny,Alappuzha,33.91327853147489,4,67
0,noon,foggy,Thiruvananthapuram,37.25949434678846,4,78
2,noon,sunny,Kollam,41.83943422081502,4,79
5,evening,cloudy,Kottayam,24.250415688358448,2,22
0,night,sunny,Guruvayur,32.089723701132236,4,67
3,night,cloudy,Palakkad,23.273383409893686,2,24
4,night,cloudy,Thrissur,29.403340154509007,2,27
0,morning,foggy,Kochi,29.05506826380913,4,70
2,evening,rainy,Kottayam,31.31292276166245,3,32
6,night,rainy,Alappuzha,31.810091422448238,4,70
5,night,foggy,Thiruvananthapuram,27.74581054912376,3,52
2,night,sunny,Kottayam,34.359545031322824,4,78
0,morning,foggy,Kasaragod,36.46118113748406,5,99
5,morning,cloudy,Kottayam,34.4476265378456,4,76
4,noon,rainy,Alappuzha,16.062157292859037,2,27
0,evening,foggy,Kozhikode,26.6661774931207,3,33
2,noon,sunny,Kozhikode,33.17016211291414,4,65
1,evening,foggy,Kottayam,25.130341724614738,3,57
3,morning,rainy,Kochi,19.39271747023096,3,45
6,night,foggy,Thiruvananthapuram,21.867501514126353,4,75
2,noon,foggy,Palakkad,32.162450228185726,4,79
5,night,rainy,Palakkad,20.462674938213816,2,21
0,noon,cloudy,Kottayam,21.62349583951188,2,27
3,morning,cloudy,Kottayam,24.66024208515664,3,48
0,morning,rainy,Kozhikode,29.632537198214152,3,51
5,morning,foggy,Alappuzha,35.700480989991085,5,87
0,noon,rainy,Kochi,24.212126168286147,2,26
1,evening,cloudy,Guruvayur,27.806795203127223,2,24
3,noon,sunny,Kottayam,42.62351278953029,4,71
3,evening,foggy,Palakkad,24.634764114996987,3,52
5,noon,cloudy,Thiruvananthapuram,24.3947016147079,2,29
6,noon,foggy,Kollam,26.186906911618593,4,66
1,morning,rainy,Kasaragod,18.936874410778486,3,35
2,night,sunny,Kottayam,32.449215169471174,4,74
0,night,rainy,Alappuzha,31.484181858825814,3,37
4,evening,sunny,Kottayam,36.46091329068577,4,71
0,night,foggy,Alappuzha,28.228256228408277,3,58
0,noon,foggy,Kochi,37.11014840971045,4,63
2,noon,rainy,Kollam,16.823891952088978,2,21
0,morning,sunny,Thrissur,29.574695024331643,4,62
1,morning,sunny,Kannur,35.6201062867299,5,88
1,night,foggy,Thiruvananthapuram,31.68955949628384,4,66
3,evening,rainy,Thiruvananthapuram,16.672477611564425,2,28
5,night,sunny,Alappuzha,32.85165888442125,4,74
6,night,foggy,Kozhikode,32.26078230412463,5,99
4,night,cloudy,Alappuzha,32.60079309503738,3,40
0,night,rainy,Kozhikode,26.848378342776577,2,25
0,noon,cloudy,Kannur,26.18316862031527,2,24
2,evening,rainy,Malappuram,17.58984210116446,2,26
5,noon,foggy,Palakkad,28.48607649112848,3,46
1,evening,sunny,Guruvayur,28.188825435256945,3,48
4,morning,sunny,Kannur,42.10960219485134,5,86
3,night,sunny,Thiruvananthapuram,34.07790472238468,4,69
1,noon,rainy,Guruvayur,21.393405964066748,2,29
5,evening,foggy,Kochi,34.2523341110211,4,74
6,morning,cloudy,Alappuzha,29.19871988007804,3,58
3,morning,foggy,Kochi,26.49574331021145,4,76
6,night,cloudy,Kollam,34.537045426823184,4,67
2,evening,rainy,Kochi,30.74158656701907,3,47
2,noon,rainy,Kottayam,27.441138826907505,2,24
0,night,cloudy,Palakkad,21.5319889871099,2,24
6,noon,cloudy,Kottayam,30.3610827690106,4,61
5,morning,cloudy,Kannur,33.70960731013334,4,62
4,noon,foggy,Kasaragod,23.545716107420695,3,57
3,noon,cloudy,Alappuzha,24.62099657971781,2,26
1,night,rainy,Thiruvananthapuram,31.00241678615832,3,31
5,noon,rainy,Guruvayur,16.342069271502258,2,26
5,night,sunny,Alappuzha,38.796361343041596,4,77
2,morning,cloudy,Palakkad,28.787739778924745,3,59
6,night,foggy,Thrissur,28.820291602273112,4,64
0,night,foggy,Guruvayur,21.345805954412878,3,50
0,evening,foggy,Thrissur,35.15493482843018,4,76
3,noon,sunny,Kasaragod,32.11702331082163,4,63
2,morning,rainy,Palakkad,25.19301573210923,3,54
5,night,foggy,Malappuram,32.73927656970601,4,63
4,morning,rainy,Malappuram,27.94470279944457,3,54
2,evening,sunny,Malappuram,42.25166100004323,4,79
3,noon,cloudy,Thiruvananthapuram,29.76637301120191,2,25
3,night,cloudy,Thiruvananthapuram,27.528826172744825,2,28
2,noon,cloudy,Malappuram,36.94655545653859,3,34
3,evening,foggy,Thrissur,32.14103889743366,4,63
2,evening,cloudy,Palakkad,25.802149862881002,2,24
1,morning,foggy,Kochi,23.375057073860507,4,70
2,night,sunny,Palakkad,40.323426524908086,4,77
6,morning,sunny,Kannur,32.15708724750058,5,106
2,evening,foggy,Malappuram,32.453150165195126,4,73
3,noon,rainy,Palakkad,24.003879129220266,2,28
6,morning,cloudy,Kollam,24.11540006269521,3,58
3,morning,cloudy,Thiruvananthapuram,30.962266152727462,4,67
0,noon,cloudy,Thiruvananthapuram,21.765205978341154,2,26
0,morning,foggy,Thrissur,28.251986719810063,4,61
6,noon,sunny,Kochi,35.29245397428241,5,88
1,night,cloudy,Malappuram,28.1463923661954,2,23
0,noon,sunny,Alappuzha,38.727426979266845,4,64
2,night,cloudy,Guruvayur,34.808318033449865,3,43
3,noon,cloudy,Thrissur,33.84472606474358,3,54
0,evening,foggy,Thrissur,21.88498501480043,3,58
0,evening,rainy,Kochi,19.300189097581526,2,29
1,night,foggy,Kottayam,30.34749255948396,4,69
6,night,cloudy,Malappuram,36.625568493724174,4,71
6,evening,cloudy,Alappuzha,34.927858982065544,3,46
5,night,rainy,Thiruvananthapuram,30.32308664198063,3,42
1,noon,sunny,Kochi,31.154539293914475,4,79
2,noon,sunny,Alappuzha,33.300614250337944,4,63
6,evening,cloudy,Kollam,28.735594910550493,2,28
3,morning,sunny,Thrissur,28.67531691694848,4,79
1,noon,cloudy,Kochi,21.26175202033531,2,23
0,night,rainy,Thiruvananthapuram,32.09734929082879,3,54
3,morning,rainy,Palakkad,20.092113956279615,3,36
3,morning,cloudy,Thiruvananthapuram,24.81272516948129,3,42
0,noon,rainy,Kollam,17.41744391406891,2,27
1,noon,foggy,Kochi,37.00979668504403,4,64
0,morning,foggy,Guruvayur,31.080695855975918,5,107
5,morning,rainy,Kollam,27.339626571131014,3,52
3,evening,cloudy,Malappuram,36.23040088965145,3,34
4,night,cloudy,Malappuram,26.609136677492977,2,21
4,evening,rainy,Guruvayur,26.56562428934743,2,27
2,noon,sunny,Kannur,26.659590730391088,3,53
6,evening,foggy,Palakkad,24.400297881928996,3,38
0,evening,sunny,Guruvayur,40.131178686529026,4,63
0,evening,cloudy,Kannur,33.768655863931265,3,32
2,evening,cloudy,Thrissur,26.694519560951054,2,22
2,night,sunny,Kottayam,32.40578067216161,4,61
2,night,rainy,Kozhikode,25.070425370410852,2,23
3,morning,sunny,Alappuzha,26.004097079647288,4,78
5,noon,sunny,Kollam,30.10115371264647,4,64
0,evening,foggy,Alappuzha,24.765105648339443,3,50
3,morning,foggy,Palakkad,25.483374996745777,4,70
2,morning,sunny,Alappuzha,39.7003993230685,5,84
0,morning,sunny,Alappuzha,30.754455561289532,5,90
3,night,cloudy,Kannur,23.989456281032076,2,21
5,evening,foggy,Thiruvananthapuram,29.797643735481333,3,37
3,evening,foggy,Kochi,35.94113052033624,4,76
5,noon,cloudy,Thrissur,24.836538771417054,2,21
2,evening,rainy,Kozhikode,17.335116127477576,2,25
5,evening,foggy,Kochi,27.284045411444097,3,53
0,morning,foggy,Thiruvananthapuram,33.93524591960442,5,93
2,noon,rainy,Alappuzha,25.361739259811507,2,22
0,evening,foggy,Kozhikode,35.1106521847637,4,68
4,night,foggy,Thiruvananthapuram,37.538231411356776,4,62
1,evening,rainy,Kannur,29.475262104777492,2,23
5,morning,rainy,Thiruvananthapuram,26.264652340343808,3,47
1,night,sunny,Kannur,34.38680699689047,4,67
1,morning,cloudy,Thiruvananthapuram,21.41476827410009,3,59
5,evening,cloudy,Malappuram,37.46706744601826,3,55
2,night,rainy,Kozhikode,22.51917908377572,2,24
4,noon,rainy,Guruvayur,18.587879636586734,2,22
0,noon,foggy,Thiruvananthapuram,32.55921544373956,4,64
3,night,sunny,Kottayam,30.832900914622808,4,63
0,night,sunny,Alappuzha,35.95823060582781,4,71
3,morning,rainy,Kozhikode,25.97505443335805,3,54
0,night,foggy,Malappuram,28.802571857348575,3,35
5,morning,foggy,Kollam,35.43918136626552,5,106
4,evening,cloudy,Kollam,25.238033852622088,2,24
3,morning,cloudy,Thrissur,28.360347863681035,3,53
6,night,foggy,Kasaragod,30.365931088046313,5,98
2,night,cloudy,Kottayam,32.01521405922365,3,34
0,evening,rainy,Kollam,29.327521458595022,2,28
0,night,foggy,Malappuram,27.93688871093015,3,59
3,night,cloudy,Kasaragod,31.71639185582169,3,44
2,noon,sunny,Thiruvananthapuram,28.560386202164825,3,40
2,noon,foggy,Thiruvananthapuram,37.080182611221936,4,71
5,evening,foggy,Palakkad,27.737164611156857,3,58
6,morning,sunny,Alappuzha,38.40186417359945,5,85
5,noon,rainy,Kasaragod,16.345798391997022,2,23
5,morning,sunny,Alappuzha,29.48818142938172,4,77
5,night,foggy,Malappuram,29.505568155500622,3,59
5,noon,rainy,Kottayam,30.930291951449888,3,55
5,evening,cloudy,Kannur,29.696931355341068,2,29
4,evening,cloudy,Kasaragod,36.541392005175496,3,44
2,evening,cloudy,Kollam,28.958141048087093,2,23
5,noon,foggy,Kottayam,29.562799546510945,3,32
2,morning,sunny,Palakkad,28.035695404509042,4,76
2,night,rainy,Guruvayur,29.645156150587738,2,25
1,morning,cloudy,Alappuzha,24.93200581811962,3,33
4,morning,rainy,Alappuzha,31.293412319329356,4,67
5,night,foggy,Kottayam,36.70917664761653,4,61
0,night,cloudy,Thiruvananthapuram,36.7698657080401,3,34
3,noon,foggy,Alappuzha,30.069083216752325,4,71
6,noon,sunny,Palakkad,37.510594341321955,5,88
0,noon,foggy,Kollam,34.459934863048076,4,67
4,noon,foggy,Kozhikode,23.452413419057713,3,46
3,noon,sunny,Kollam,36.21627231495745,4,64
4,night,rainy,Kollam,16.5830643221563,2,21
2,morning,sunny,Alappuzha,34.45862341760834,5,96
3,noon,sunny,Guruvayur,28.632325587543868,3,53
2,noon,foggy,Kochi,24.334854643355236,3,45
0,morning,rainy,Kannur,22.205808633774225,3,31
0,noon,cloudy,Thiruvananthapuram,28.085025640360108,2,23
3,morning,sunny,Kannur,36.593931217047185,5,89
3,morning,rainy,Alappuzha,17.265283113454768,3,46
5,night,sunny,Kannur,34.56275994103656,4,62
4,evening,sunny,Thiruvananthapuram,29.10462721430272,3,50
5,night,sunny,Malappuram,35.75757797553961,4,76
4,evening,sunny,Kochi,36.835878408440124,4,72
5,evening,foggy,Kannur,30.689222263398314,4,70
2,evening,rainy,Alappuzha,28.55102367813123,2,22
3,noon,rainy,Thrissur,21.705357152095324,2,21
0,night,rainy,Kannur,29.006812057763227,2,23
4,evening,sunny,Kollam,33.35704038903929,4,62
4,morning,foggy,Malappuram,29.456301373483942,4,61
0,noon,sunny,Kochi,37.017736163438215,4,74
5,night,sunny,Alappuzha,26.312092527986806,3,55
4,evening,rainy,Palakkad,27.11790176414422,2,24
6,morning,sunny,Kottayam,36.51594753422596,5,84
2,night,cloudy,Kottayam,26.000994790985317,2,23
3,night,sunny,Thiruvananthapuram,27.45850284329132,3,51
0,noon,cloudy,Kannur,22.279496454701256,2,23
3,night,sunny,Kochi,41.694803698748885,4,79
6,noon,foggy,Kollam,32.94291336283903,5,104
4,evening,foggy,Kollam,23.385909336102383,3,51
4,noon,rainy,Guruvayur,22.06429387825141,2,23
6,morning,sunny,Kozhikode,36.072210896327135,5,106
0,noon,cloudy,Kottayam,34.93831279272058,3,42
2,morning,cloudy,Kannur,21.475829594300702,3,44
1,noon,sunny,Malappuram,30.02276323499015,4,68
0,night,cloudy,Kochi,35.859326641201015,3,58
1,evening,foggy,Kollam,21.38097925512468,3,42
6,morning,cloudy,Kozhikode,24.157378553675642,3,54
5,noon,rainy,Kochi,32.30341099154042,3,54
1,noon,foggy,Kannur,31.652996292876708,4,72
2,noon,foggy,Kasaragod,25.673578134837406,3,49
5,night,foggy,Kollam,22.364013506729208,3,58
1,night,sunny,Kasaragod,26.47925278760278,3,38
6,morning,sunny,Kochi,30.160666353827764,5,104
5,morning,foggy,Kannur,36.21042383501128,5,83
6,night,sunny,Kollam,33.07053212305766,5,108
1,morning,cloudy,Guruvayur,32.979261082001436,4,67
6,evening,sunny,Kasaragod,41.61084560145928,4,64
2,evening,sunny,Thrissur,32.93668784724788,4,66
1,night,foggy,Kozhikode,24.476880209635546,3,35
1,morning,rainy,Malappuram,24.79100482456763,3,31
1,noon,rainy,Kottayam,31.437422680017526,3,41
0,evening,rainy,Kozhikode,29.67436504034091,2,25
0,night,cloudy,Kasaragod,21.85270114335317,2,24
0,morning,sunny,Kollam,37.77373760131889,5,104
2,night,rainy,Guruvayur,25.722257881802214,2,29
5,noon,foggy,Thrissur,36.65203889988903,4,66
6,evening,rainy,Guruvayur,18.08218408645505,2,28
4,night,rainy,Thrissur,25.078613924479164,2,28
1,night,sunny,Kottayam,40.95086578970217,4,69
6,night,sunny,Guruvayur,32.97040437460963,5,99
1,noon,sunny,Thrissur,34.19391360145874,4,72
2,night,cloudy,Guruvayur,21.931425326517846,2,22
1,noon,cloudy,Kozhikode,25.46203569381104,2,24
0,noon,rainy,Alappuzha,21.516613035872105,2,27
4,noon,sunny,Thrissur,42.067081628663075,4,80
3,evening,rainy,Kottayam,20.805345129199704,2,29
1,evening,foggy,Thrissur,29.05993340158388,3,35
6,night,foggy,Thrissur,32.63734010259255,5,87
0,night,sunny,Palakkad,28.757117330933916,3,36
3,evening,sunny,Kozhikode,34.26952058141187,4,75
4,morning,foggy,Kasaragod,33.78032857309022,5,101
3,evening,sunny,Thiruvananthapuram,40.73653862146012,4,78
0,noon,cloudy,Alappuzha,31.38000147544081,3,52
5,evening,cloudy,Thrissur,32.10750356656767,3,51
5,noon,sunny,Malappuram,28.14681903393767,3,52
3,night,foggy,Thrissur,37.3033653551877,4,71
2,morning,rainy,Palakkad,18.2537593172362,3,34
6,night,sunny,Guruvayur,39.16943993209057,5,83
6,noon,sunny,Kasaragod,30.50187747023142,5,84
3,noon,rainy,Malappuram,31.871083442921275,3,42
1,noon,sunny,Alappuzha,38.23931216928115,4,76
1,morning,rainy,Malappuram,28.814833120632272,3,41
6,evening,foggy,Kozhikode,24.949170844017814,3,35
6,night,cloudy,Kottayam,28.26527340897729,3,54
5,night,foggy,Kottayam,31.727989210017668,4,69
2,evening,cloudy,Alappuzha,33.823145315691775,3,38
0,night,rainy,Kannur,17.767309390510622,2,26
1,morning,cloudy,Kasaragod,37.093804185906535,4,66
6,night,foggy,Kannur,36.35891630142725,5,88
5,noon,cloudy,Kottayam,25.32951984460449,2,26
4,evening,rainy,Kochi,29.986924131549642,2,21
5,morning,cloudy,Palakkad,29.545100497856552,3,58
1,evening,sunny,Alappuzha,33.850710186554316,4,75
1,morning,foggy,Alappuzha,26.57054470079369,4,73
5,noon,sunny,Thiruvananthapuram,35.87646597273707,4,68
0,evening,rainy,Thiruvananthapuram,28.40811500096116,2,27
3,night,cloudy,Kozhikode,27.719453190546446,2,29
1,morning,sunny,Kozhikode,36.69672628114097,5,104
5,evening,sunny,Thiruvananthapuram,37.88831965964016,4,73
6,night,cloudy,Kannur,32.822664695439414,4,79
5,evening,cloudy,Kottayam,21.61701747440962,2,26
2,evening,foggy,Kollam,35.84087759864594,4,75
3,evening,sunny,Alappuzha,33.79030635100581,4,66
